reg;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;hyg4mes;hyg4mes_inf;hyg4mes_sup;dist3mes;dist3mes_inf;dist3mes_sup;nbmoy7mes;nbmoy7mes_inf;nbmoy7mes_sup;nbmoy4mesHyg;nbmoy4mesHyg_inf;nbmoy4mesHyg_sup;dist1m;dist1m_inf;dist1m_sup;portmasque;portmasque_inf;portmasque_sup;;;
93;Vague 8 : 18-20 mai;14,5;9,5;21,6;12,3;7,8;18,8;60,4;52,2;68,0;47,7;39,7;55,8;;;;;;;3,00;2,81;3,20;73,6;65,9;80,1;60,2;52,1;67,9;;;
11;Vague 9 : 27-29 mai;18,0;14,3;22,4;15,2;11,8;19,4;69,3;64,4;73,9;44,9;39,8;50,1;;;;;;;2,89;2,76;3,02;62,4;57,3;67,3;57,7;52,5;62,7;;;
24;Vague 9 : 27-29 mai;13,6;7,6;23,2;10,9;5,7;19,8;75,7;65,4;83,7;48,2;37,6;59,0;;;;;;;3,06;2,79;3,32;65,0;53,9;74,6;55,9;45,1;66,2;;;
27;Vague 9 : 27-29 mai;15,3;8,9;25,3;10,4;5,3;19,5;70,5;59,6;79,5;33,9;24,3;45,0;;;;;;;2,70;2,43;2,97;67,8;56,6;77,3;48,6;37,6;59,7;;;
28;Vague 9 : 27-29 mai;25,0;17,8;33,9;16,7;10,9;24,9;69,5;60,5;77,2;41,3;32,6;50,6;;;;;;;2,73;2,49;2,98;60,9;51,6;69,4;51,0;41,9;60,1;;;
32;Vague 9 : 27-29 mai;23,6;18,1;30,1;14,1;9,8;19,8;71,8;64,9;77,8;36,4;29,8;43,6;;;;;;;2,77;2,58;2,96;68,0;60,9;74,3;59,9;52,7;66,7;;;
44;Vague 9 : 27-29 mai;20,6;15,1;27,5;12,1;7,8;18,1;62,2;54,5;69,3;40,9;33,6;48,6;;;;;;;2,87;2,68;3,06;68,3;60,8;74,9;56,4;48,7;63,8;;;
52;Vague 9 : 27-29 mai;11,7;7,0;18,9;9,1;4,9;16,3;58,6;49,6;67,1;49,3;40,5;58,2;;;;;;;2,96;2,73;3,19;69,5;60,7;77,1;53,2;44,3;62,0;;;
53;Vague 9 : 27-29 mai;13,1;7,7;21,4;7,8;3,9;15,0;52,0;42,4;61,4;43,0;33,9;52,6;;;;;;;2,88;2,63;3,12;64,7;55,0;73,3;39,3;30,4;48,9;;;
75;Vague 9 : 27-29 mai;11,9;7,8;17,7;11,4;7,5;16,9;63,7;56,4;70,5;40,9;33,8;48,3;;;;;;;2,78;2,59;2,98;66,8;59,4;73,5;55,5;48,0;62,8;;;
76;Vague 9 : 27-29 mai;19,4;14,1;26,0;13,9;9,4;20,0;67,7;60,4;74,2;42,9;35,7;50,4;;;;;;;2,72;2,51;2,94;68,6;61,2;75,1;46,4;39,1;53,8;;;
84;Vague 9 : 27-29 mai;10,6;7,2;15,4;9,4;6,2;13,9;66,8;60,4;72,6;42,6;36,4;49,2;;;;;;;2,98;2,83;3,13;65,2;58,7;71,2;53,9;47,4;60,3;;;
93;Vague 9 : 27-29 mai;13,6;9,1;19,8;11,3;7,3;17,1;62,3;54,6;69,5;37,7;30,6;45,3;;;;;;;2,83;2,65;3,01;61,5;53,7;68,7;56,3;48,5;63,8;;;
11;Vague 10 : 8-10 juin;18,8;15,1;23,3;13,9;10,8;17,9;64,9;59,8;69,7;37,5;32,6;42,6;;;;;;;2,66;2,52;2,80;56,4;51,2;61,5;58,4;53,2;63,4;;;
24;Vague 10 : 8-10 juin;13,9;8,0;23,1;8,5;4,1;16,9;71,2;60,7;79,8;36,5;26,9;47,4;;;;;;;2,56;2,26;2,86;59,6;48,8;69,6;47,9;37,4;58,5;;;
27;Vague 10 : 8-10 juin;13,3;7,9;21,8;9,4;4,9;17,1;63,8;53,3;73,1;44,7;34,8;55,2;;;;;;;2,89;2,63;3,15;62,3;51,9;71,7;43,8;33,9;54,2;;;
28;Vague 10 : 8-10 juin;15,5;9,5;24,2;9,5;4,9;17,5;64,1;54,0;73,1;41,3;31,9;51,5;;;;;;;2,77;2,51;3,03;61,9;51,6;71,1;52,7;42,7;62,5;;;
32;Vague 10 : 8-10 juin;18,4;13,5;24,7;12,5;8,5;18,1;69,1;62,8;75,4;39,1;32,3;46,4;;;;;;;2,72;2,53;2,91;57,5;50,2;64,4;51,4;44,1;58,5;;;
44;Vague 10 : 8-10 juin;17,6;12,4;24,5;11,8;7,7;17,7;65,4;57,8;72,3;34,9;28,0;42,4;;;;;;;2,61;2,41;2,82;57,0;49,2;64,4;48,8;41,2;56,4;;;
52;Vague 10 : 8-10 juin;16,6;10,9;24,5;11,3;6,7;18,2;58,8;49,9;67,2;38,1;30,0;47,0;;;;;;;2,54;2,28;2,79;56,1;47,2;64,7;47,9;39,2;56,7;;;
53;Vague 10 : 8-10 juin;8,1;4,3;15,0;7,2;3,6;13,8;54,7;45,2;63,9;32,2;24,2;41,5;;;;;;;2,70;2,45;2,94;52,4;42,9;61,7;36,6;28,1;46,1;;;
75;Vague 10 : 8-10 juin;13,5;9,5;19,0;9,5;6,2;14,3;60,5;53,4;67,1;30,9;24,9;37,7;;;;;;;2,46;2,27;2,66;58,9;51,8;65,6;47,9;40,9;54,9;;;
76;Vague 10 : 8-10 juin;12,2;8,0;18,1;9,8;6,1;15,3;66,1;58,7;72,7;36,5;29,7;43,8;;;;;;;2,64;2,44;2,85;59,2;51,7;66,2;49,4;42,0;56,8;;;
84;Vague 10 : 8-10 juin;16,7;12,5;22,1;14,9;10,9;20,1;65,7;59,6;71,4;40,4;34,5;46,7;;;;;;;2,79;2,63;2,95;58,9;52,6;64,9;49,9;43,6;56,1;;;
93;Vague 10 : 8-10 juin;17,8;12,3;25,0;9,1;5,5;14,9;65,8;57,6;73,2;31,1;24,2;39,1;;;;;;;2,56;2,34;2,77;59,0;50,8;66,8;39,9;32,2;48,2;;;
11;Vague 11 : 22-24 juin;14,4;11,0;18,5;13,6;10,3;17,6;58,3;53,1;63,3;39,0;34,1;44,2;;;;;;;2,73;2,59;2,87;53,1;47,9;58,2;52,8;47,6;58,0;;;
24;Vague 11 : 22-24 juin;15,6;9,2;25,3;6,1;2,5;13,9;56,0;45,0;66,5;32,1;23,0;42,8;;;;;;;2,58;2,29;2,86;54,6;43,6;65,2;52,7;41,8;63,4;;;
27;Vague 11 : 22-24 juin;12,3;7,1;20,5;9,2;4,8;16,7;64,6;54,4;73,5;43,1;33,6;53,2;;;;;;;2,83;2,58;3,08;55,7;45,6;65,3;57,9;47,8;67,3;;;
28;Vague 11 : 22-24 juin;15,2;9,5;23,4;7,3;3,7;14,0;67,7;57,8;76,3;36,0;27,3;45,8;;;;;;;2,54;2,25;2,82;56,8;46,9;66,2;45,6;36,1;55,4;;;
32;Vague 11 : 22-24 juin;19,7;14,6;26,1;12,6;8,5;18,3;70,5;63,5;76,7;32,8;26,5;39,9;;;;;;;2,54;2,35;2,74;52,6;45,4;59,7;55,1;47,9;62,1;;;
44;Vague 11 : 22-24 juin;15,3;10,5;21,8;14,5;9,8;20,9;57,3;49,6;64,7;31,7;25,0;39,2;;;;;;;2,52;2,31;2,73;53,4;45,6;60,9;51,5;43,9;59,2;;;
52;Vague 11 : 22-24 juin;14,3;9,1;21,8;7,8;4,0;14,5;63,1;54,2;71,3;33,3;25,4;42,2;;;;;;;2,61;2,38;2,84;52,0;43,1;60,8;47,1;38,4;56,0;;;
53;Vague 11 : 22-24 juin;16,2;10,3;24,6;13,8;8,3;22,0;59,6;50,0;68,5;32,6;24,3;42,1;;;;;;;2,66;2,43;2,89;58,8;49,2;67,8;57,2;47,6;66,2;;;
75;Vague 11 : 22-24 juin;17,2;12,3;23,4;10,0;6,2;15,5;61,4;53,9;68,4;33,9;27,2;41,2;;;;;;;2,59;2,39;2,79;55,4;47,9;62,7;56,4;48,9;63,6;;;
76;Vague 11 : 22-24 juin;10,8;7,1;16,3;8,5;5,2;13,6;59,5;52,1;66,4;32,4;26,0;39,5;;;;;;;2,52;2,32;2,72;53,9;46,5;61,1;51,8;44,5;59,1;;;
84;Vague 11 : 22-24 juin;14,0;10,3;18,8;10,5;7,3;14,9;63,3;57,2;69,0;39,2;33,4;45,4;;;;;;;2,65;2,48;2,82;57,9;51,7;63,9;51,3;45,1;57,4;;;
93;Vague 11 : 22-24 juin;16,3;11,3;22,9;12,7;8,3;18,9;69,9;62,2;76,7;40,7;33,2;48,7;;;;;;;2,64;2,42;2,87;54,8;46,9;62,5;49,3;41,5;57,2;;;
11;Vague 12 : 6-8 juillet;19,8;16,0;24,3;13,3;10,1;17,4;67,8;62,8;72,5;38,4;33,5;43,5;;;;;;;2,67;2,53;2,82;53,8;48,6;58,9;60,5;55,4;65,4;;;
24;Vague 12 : 6-8 juillet;19,7;12,3;30,1;8,4;4,2;16,1;64,3;53,6;73,7;34,5;25,3;45,0;;;;;;;2,54;2,25;2,83;53,0;42,5;63,3;52,0;41,5;62,3;;;
27;Vague 12 : 6-8 juillet;19,4;11,5;30,8;11,0;5,2;21,7;72,0;60,0;81,5;30,8;20,8;43,0;;;;;;;2,64;2,33;2,94;52,3;40,2;64,2;40,8;29,6;53,0;;;
28;Vague 12 : 6-8 juillet;16,3;10,4;24,6;8,8;4,7;15,7;78,5;69,5;85,5;40,9;31,9;50,6;;;;;;;2,77;2,51;3,02;52,4;42,8;61,8;53,8;44,2;63,1;;;
32;Vague 12 : 6-8 juillet;20,0;14,9;26,2;13,4;9,3;19,0;63,4;56,4;69,9;33,6;27,4;40,4;;;;;;;2,61;2,43;2,79;58,2;51,2;64,9;48,4;41,5;55,3;;;
44;Vague 12 : 6-8 juillet;20,4;14,6;27,7;9,9;6,2;15,5;67,2;59,5;74,0;38,9;31,6;46,8;;;;;;;2,80;2,61;3,00;59,0;51,0;66,5;60,0;52,0;67,5;;;
52;Vague 12 : 6-8 juillet;12,7;8,1;19,4;10,3;6,1;16,9;66,6;57,8;74,4;26,7;19,7;35,1;;;;;;;2,39;2,15;2,63;36,3;28,3;45,1;32,9;25,3;41,5;;;
53;Vague 12 : 6-8 juillet;12,5;7,5;20,2;4,7;1,9;10,8;57,8;48,5;66,5;36,3;28,0;45,5;;;;;;;2,64;2,39;2,89;47,2;38,2;56,4;42,4;33,7;51,6;;;
75;Vague 12 : 6-8 juillet;11,7;7,8;17,3;6,6;3,8;11,1;56,1;48,6;63,3;28,3;22,2;35,4;;;;;;;2,42;2,22;2,62;50,8;43,4;58,2;44,6;37,4;52,1;;;
76;Vague 12 : 6-8 juillet;16,9;11,9;23,5;10,2;6,4;15,7;64,9;57,5;71,7;32,9;26,3;40,2;;;;;;;2,54;2,34;2,75;52,1;44,7;59,5;44,5;37,3;52,0;;;
84;Vague 12 : 6-8 juillet;16,8;12,4;22,4;11,8;8,2;16,7;62,8;56,3;69,0;36,9;30,8;43,5;;;;;;;2,56;2,37;2,75;51,6;45,0;58,1;50,8;44,2;57,3;;;
93;Vague 12 : 6-8 juillet;14,2;9,5;20,8;11,3;7,0;17,9;67,3;59,3;74,4;34,9;27,6;42,9;;;;;;;2,60;2,38;2,82;51,3;43,2;59,3;42,9;35,1;51,0;;;
11;Vague 13 : 20-22 juillet;19,1;15,4;23,4;15,5;12,1;19,5;67,4;62,4;72,0;36,6;31,8;41,5;;;;;;;2,69;2,55;2,83;50,2;45,1;55,2;62,7;57,6;67,6;;;
24;Vague 13 : 20-22 juillet;11,7;6,4;20,5;11,7;6,3;20,7;68,9;58,0;78,1;38,2;28,4;49,1;;;;;;;2,75;2,47;3,02;61,7;50,8;71,6;64,2;53,2;73,9;;;
27;Vague 13 : 20-22 juillet;13,3;7,6;22,3;8,8;4,3;17,1;54,5;43,6;65,0;35,0;25,5;45,9;;;;;;;2,55;2,24;2,87;52,4;41,5;63,0;68,6;57,8;77,7;;;
28;Vague 13 : 20-22 juillet;22,9;15,4;32,5;10,8;6,0;18,8;57,7;47,6;67,2;45,2;35,5;55,3;;;;;;;3,01;2,79;3,24;56,7;46,5;66,3;56,6;46,5;66,2;;;
32;Vague 13 : 20-22 juillet;21,0;15,7;27,6;13,3;9,0;19,0;72,0;65,1;78,0;33,8;27,4;40,9;;;;;;;2,57;2,38;2,76;58,6;51,5;65,4;61,5;54,3;68,1;;;
44;Vague 13 : 20-22 juillet;17,6;12,7;24,0;11,4;7,5;17,1;64,7;57,1;71,7;43,4;36,0;51,1;;;;;;;2,81;2,61;3,01;59,0;51,3;66,4;64,2;56,6;71,2;;;
52;Vague 13 : 20-22 juillet;14,5;9,1;22,2;6,8;3,4;13,2;69,5;60,5;77,3;33,0;25,1;42,0;;;;;;;2,43;2,17;2,69;51,1;42,0;60,1;58,2;49,0;66,9;;;
53;Vague 13 : 20-22 juillet;20,1;13,5;28,8;12,5;7,6;19,9;58,7;49,2;67,6;23,7;16,7;32,5;;;;;;;2,24;1,99;2,50;44,0;34,9;53,4;62,9;53,3;71,5;;;
75;Vague 13 : 20-22 juillet;14,5;9,8;21,0;9,7;6,2;15,0;60,7;52,9;68,0;32,7;25,9;40,4;;;;;;;2,58;2,38;2,79;52,0;44,2;59,7;63,2;55,4;70,3;;;
76;Vague 13 : 20-22 juillet;17,1;11,9;23,9;9,9;6,1;15,8;67,1;59,4;73,9;33,9;27,0;41,5;;;;;;;2,51;2,29;2,73;51,7;43,9;59,4;58,4;50,5;65,8;;;
84;Vague 13 : 20-22 juillet;16,4;12,1;21,8;10,2;6,8;15,0;61,1;54,6;67,3;34,8;28,9;41,2;;;;;;;2,65;2,47;2,82;53,5;46,9;59,9;56,4;49,9;62,8;;;
93;Vague 13 : 20-22 juillet;18,4;13,1;25,3;12,6;8,2;18,8;59,2;51,7;66,4;30,8;24,3;38,0;;;;;;;2,65;2,46;2,83;53,9;46,3;61,3;60,4;52,7;67,6;;;
11;Vague 14 : 24-26 août;14,9;11,5;19,3;11,2;8,3;15,1;64,7;59,5;69,6;30,9;26,3;36,0;;;;;;;2,57;2,43;2,70;50,8;45,5;56,0;71,4;66,3;76,0;;;
24;Vague 14 : 24-26 août;14,6;8,6;23,8;13,4;7,4;23,0;57,5;46,5;67,8;32,3;23,1;43,0;;;;;;;2,47;2,15;2,79;60,6;49,6;70,6;71,6;60,6;80,5;;;
27;Vague 14 : 24-26 août;12,0;6,7;20,5;10,9;5,9;19,2;59,2;49,0;68,7;40,7;31,2;50,9;;;;;;;2,66;2,37;2,94;55,8;45,6;65,5;73,0;62,9;81,1;;;
28;Vague 14 : 24-26 août;14,7;8,9;23,3;7,3;3,7;14,1;70,5;60,6;78,9;30,4;22,1;40,1;;;;;;;2,58;2,33;2,82;58,6;48,8;67,8;72,3;62,9;80,1;;;
32;Vague 14 : 24-26 août;26,9;20,8;34,0;17,1;12,3;23,2;70,2;63,2;76,4;28,9;22,9;35,8;;;;;;;2,35;2,16;2,55;57,6;50,2;64,7;69,6;62,4;76,0;;;
44;Vague 14 : 24-26 août;23,9;18,1;30,9;15,6;11,1;21,6;68,5;61,0;75,1;35,2;28,4;42,8;;;;;;;2,66;2,44;2,87;58,9;51,2;66,2;72,0;64,5;78,5;;;
52;Vague 14 : 24-26 août;23,9;17,0;32,5;15,1;9,8;22,6;73,0;64,3;80,2;36,7;28,5;45,6;;;;;;;2,56;2,30;2,82;52,0;43,0;60,9;68,2;59,3;76,0;;;
53;Vague 14 : 24-26 août;13,8;8,2;22,4;13,8;8,4;21,8;64,8;55,7;73,4;35,3;26,7;44,9;;;;;;;2,57;2,30;2,84;48,1;38,6;57,8;65,7;55,7;74,5;;;
75;Vague 14 : 24-26 août;16,8;11,9;23,1;8,9;5,5;13,9;62,6;55,7;69,6;29,4;22,9;36,8;;;;;;;2,57;2,38;2,75;58,8;51,2;66,0;70,3;63,1;76,6;;;
76;Vague 14 : 24-26 août;17,4;12,3;24,2;11,4;7,4;17,1;58,2;50,5;65,5;24,8;18,8;32,0;;;;;;;2,35;2,15;2,55;50,9;43,3;58,4;63,2;55,5;70,2;;;
84;Vague 14 : 24-26 août;14,7;10,3;30,4;9,4;6,2;13,9;66,1;59,5;72,2;31,2;25,2;37,9;;;;;;;2,48;2,29;2,67;55,5;48,6;62,2;65,8;58,9;72,0;;;
93;Vague 14 : 24-26 août;14,9;10,2;21,2;8,7;5,3;13,8;57,3;49,6;64,6;29,8;23,5;37,0;;;;;;;2,49;2,29;2,69;45,4;38,1;53,0;61,1;53,4;68,3;;;
11;Vague 15 : 21-23 sept.;18,4;14,5;23,1;13,0;9,6;17,3;64,3;59,0;69,4;32,2;27,3;37,4;;;;;;;2,57;2,43;2,71;49,7;44,2;55,2;80,7;75,9;84,7;;;
24;Vague 15 : 21-23 sept.;18,2;11,5;27,7;10,5;5,6;18,6;69,3;58,5;78,3;32,8;23,7;43,5;;;;;;;2,57;2,27;2,86;53,6;42,4;64,5;82,7;73,0;89,4;;;
27;Vague 15 : 21-23 sept.;18,8;12,1;27,9;8,2;4,3;15,1;61,0;50,3;70,8;37,5;27,7;48,4;;;;;;;2,73;2,45;3,01;43,2;33,3;53,8;69,3;58,6;78,3;;;
28;Vague 15 : 21-23 sept.;18,1;11,6;27,1;15,6;9,3;25,0;63,0;53,0;71,9;24,5;17,1;33,8;;;;;;;2,39;2,13;2,64;51,2;41,5;60,9;66,5;56,4;75,3;;;
32;Vague 15 : 21-23 sept.;22,4;16,8;29,2;7,6;4,4;12,6;75,5;68,9;81,0;34,3;27,6;41,7;;;;;;;2,65;2,46;2,84;50,5;43,2;57,8;75,2;68,3;81,0;;;
44;Vague 15 : 21-23 sept.;15,0;10,3;21,4;10,8;6,9;16,3;66,3;58,7;73,2;36,0;28,9;43,7;;;;;;;2,62;2,41;2,82;56,8;49,1;64,2;74,7;67,4;80,9;;;
52;Vague 15 : 21-23 sept.;23,7;16,4;33,0;13,3;8,3;20,7;68,0;59,2;75,7;22,9;16,0;31,7;;;;;;;2,32;2,09;2,55;51,9;42,9;60,8;69,7;60,9;77,3;;;
53;Vague 15 : 21-23 sept.;16,9;11,0;25,3;10,5;6,2;17,4;67,4;58,2;75,5;42,7;33,7;52,2;;;;;;;2,78;2,53;3,03;58,1;48,6;67,0;76,3;67,1;83,6;;;
75;Vague 15 : 21-23 sept.;18,9;13,6;25,7;10,4;6,4;16,3;69,5;62,1;76,0;29,9;23,6;37,1;;;;;;;2,51;2,31;2,71;57,2;49,4;64,7;74,7;67,2;80,9;;;
76;Vague 15 : 21-23 sept.;22,5;16,8;29,3;13,7;9,3;19,7;64,0;56,9;70,6;35,0;28,5;42,2;;;;;;;2,50;2,28;2,71;52,7;45,5;59,8;68,4;61,4;74,7;;;
84;Vague 15 : 21-23 sept.;14,2;10,2;19,5;8,5;5,6;12,7;61,0;54,6;67,1;32,2;26,5;38,5;;;;;;;2,54;2,37;2,72;52,3;45,8;58,7;72,8;66,5;78,3;;;
93;Vague 15 : 21-23 sept.;11,0;6,8;17,4;8,8;5,2;14,5;62,7;54,7;70,1;28,2;21,6;36,0;;;;;;;2,61;2,41;2,80;50,2;42,2;58,2;66,8;58,7;74,0;;;
11;Vague 16 : 19-21 oct.;16,9;13,3;21,3;20,2;16,2;24,8;65,3;60,2;70,1;35,4;30,6;40,6;;;;;;;2,64;2,50;2,78;47,6;42,4;52,8;80,2;75,7;84,0;;;
24;Vague 16 : 19-21 oct.;13,2;7,4;22,6;12,3;6,6;21,8;63,2;52,3;72,9;41,3;31,2;52,2;;;;;;;2,69;2,39;2,98;55,9;44,9;66,3;79,5;69,7;86,8;;;
27;Vague 16 : 19-21 oct.;15,3;9,3;23,9;10,9;6,1;18,7;63,7;53,2;73,0;34,9;25,7;45,3;;;;;;;2,55;2,25;2,84;48,0;37,9;58,3;74,7;64,7;82,7;;;
28;Vague 16 : 19-21 oct.;23,3;16,2;32,3;16,7;10,6;25,3;64,9;55,4;73,4;35,1;26,6;44,6;;;;;;;2,70;2,46;2,94;54,2;44,7;63,5;79,4;70,6;86,2;;;
32;Vague 16 : 19-21 oct.;23,3;17,8;29,9;18,9;13,9;25,2;61,3;53,9;68,2;35,0;28,4;42,2;;;;;;;2,65;2,46;2,85;59,1;51,7;66,1;83,7;77,7;88,3;;;
44;Vague 16 : 19-21 oct.;20,9;15,4;27,6;14,0;9,6;20,1;62,0;54,4;69,1;40,2;33,1;47,8;;;;;;;2,69;2,47;2,90;56,5;48,9;63,8;78,0;71,0;83,7;;;
52;Vague 16 : 19-21 oct.;16,4;10,7;24,2;8,2;4,4;14,6;64,8;55,6;73,0;33,9;25,8;43,0;;;;;;;2,64;2,41;2,87;51,0;41,9;60,0;76,7;67,8;83,7;;;
53;Vague 16 : 19-21 oct.;21,5;14,8;30,2;17,1;11,2;25,2;57,1;47,5;66,3;36,4;27,7;46,0;;;;;;;2,75;2,50;3,00;57,3;47,7;66,5;81,6;73,1;87,9;;;
75;Vague 16 : 19-21 oct.;14,5;10,1;20,3;13,8;9,6;19,6;64,0;56,7;70,7;40,1;33,2;47,4;;;;;;;2,67;2,47;2,88;62,8;55,5;69,5;78,1;71,4;83,5;;;
76;Vague 16 : 19-21 oct.;22,0;16,5;28,7;18,5;13,4;24,9;66,2;59,7;72,7;31,1;24,9;38,1;;;;;;;2,38;2,17;2,59;49,6;42,4;56,9;74,4;67,5;80,3;;;
84;Vague 16 : 19-21 oct.;20,1;15,4;25,8;13,3;9,5;18,3;68,8;62,5;74,5;40,7;34,6;47,1;;;;;;;2,81;2,65;2,97;57,2;50,7;63,4;82,0;76,5;86,4;;;
93;Vague 16 : 19-21 oct.;20,6;14,7;28,1;12,3;7,9;18,8;66,2;58,0;73,5;42,1;34,2;50,4;;;;;;;2,73;2,51;2,95;53,2;44,9;61,4;73,9;65,9;80,6;;;